,movie,release_date,release_month,release_day,release_year
20187,Insidious,2011-04-01,April,Friday,2011
20188,Your Highness,2011-04-08,April,Friday,2011
20189,The Grey,2011-12-11,December,Sunday,2011
20190,Just Go with It,2011-02-11,February,Friday,2011
20191,3-D Sex and Zen: Extreme Ecstasy,2011-04-14,April,Thursday,2011
20192,Sucker Punch,2011-03-25,March,Friday,2011
20193,Real Steel,2011-10-06,October,Thursday,2011
20194,Battle: Los Angeles,2011-03-08,March,Tuesday,2011
20195,The Intouchables,2011-11-02,November,Wednesday,2011
20196,Bad Teacher,2011-06-19,June,Sunday,2011
20197,Captain America: The First Avenger,2011-07-22,July,Friday,2011
20198,The Adventures of Tintin,2011-12-20,December,Tuesday,2011
20199,The Girl with the Dragon Tattoo,2011-12-14,December,Wednesday,2011
20200,Mr. Nobody,2011-12-20,December,Tuesday,2011
20201,The Thing,2011-10-14,October,Friday,2011
20202,Pixie Hollow Games,2011-11-19,November,Saturday,2011
20203,Arthur Christmas,2011-11-23,November,Wednesday,2011
20204,The Green Hornet,2011-01-13,January,Thursday,2011
20205,Drive Angry,2011-02-24,February,Thursday,2011
20206,Wrong Turn 4: Bloody Beginnings,2011-10-17,October,Monday,2011
20207,Final Destination 5,2011-08-12,August,Friday,2011
20208,A Serbian Film,2011-05-13,May,Friday,2011
20209,Scream 4,2011-04-11,April,Monday,2011
20210,No Strings Attached,2011-01-21,January,Friday,2011
20211,Horrible Bosses,2011-07-08,July,Friday,2011
20212,Colombiana,2011-08-26,August,Friday,2011
20213,Kill Bill: The Whole Bloody Affair,2011-03-28,March,Monday,2011
20214,Abduction,2011-09-23,September,Friday,2011
20215,Hall Pass,2011-02-25,February,Friday,2011
20216,Hanna,2011-04-08,April,Friday,2011
20217,The Adjustment Bureau,2011-03-04,March,Friday,2011
20218,The Help,2011-08-10,August,Wednesday,2011
20219,Moneyball,2011-09-22,September,Thursday,2011
20220,Priest,2011-05-13,May,Friday,2011
20221,Ice Age: A Mammoth Christmas,2011-11-24,November,Thursday,2011
20222,Killer Elite,2011-09-23,September,Friday,2011
20223,Something Borrowed,2011-05-05,May,Thursday,2011
20224,The Tree of Life,2011-05-27,May,Friday,2011
20225,Friends with Benefits,2011-07-21,July,Thursday,2011
20226,Mars Needs Moms,2011-03-11,March,Friday,2011
20227,Jack and Jill,2011-11-11,November,Friday,2011
20228,Paul,2011-03-17,March,Thursday,2011
20229,Puss in Boots,2011-10-28,October,Friday,2011
20230,Season of the Witch,2011-01-07,January,Friday,2011
20231,Shame,2011-10-07,October,Friday,2011
20232,The Change-Up,2011-08-05,August,Friday,2011
20233,The Skin I Live In,2011-10-14,October,Friday,2011
20234,Barbie: A Fairy Secret,2011-03-15,March,Tuesday,2011
20235,The Conspirator,2011-04-15,April,Friday,2011
20236,Spy Kids: All the Time in the World,2011-08-19,August,Friday,2011
20237,Tinker Tailor Soldier Spy,2011-12-09,December,Friday,2011
20238,Zookeeper,2011-07-08,July,Friday,2011
20239,Vanishing on 7th Street,2011-02-18,February,Friday,2011
20240,Johnny English Reborn,2011-10-21,October,Friday,2011
20241,Red Riding Hood,2011-03-11,March,Friday,2011
20242,Sherlock Holmes: A Game of Shadows,2011-12-16,December,Friday,2011
20243,A Cinderella Story: Once Upon a Song,2011-09-05,September,Monday,2011
20244,I Am Number Four,2011-02-18,February,Friday,2011
20245,Trespass,2011-10-14,October,Friday,2011
20246,The Three Musketeers,2011-10-20,October,Thursday,2011
20247,Children Who Chase Lost Voices,2011-07-29,July,Friday,2011
20248,Hawaiian Vacation,2011-06-24,June,Friday,2011
20249,Hop,2011-04-01,April,Friday,2011
20250,Senna,2011-01-21,January,Friday,2011
20251,Alvin and the Chipmunks: Chipwrecked,2011-12-16,December,Friday,2011
20252,The Eagle,2011-02-11,February,Friday,2011
20253,The Darkest Hour,2011-12-25,December,Sunday,2011
20254,What's Your Number?,2011-09-30,September,Friday,2011
20255,One Day,2011-08-19,August,Friday,2011
20256,The Art of Getting By,2011-06-17,June,Friday,2011
20257,Young Adult,2011-12-16,December,Friday,2011
20258,The Lincoln Lawyer,2011-03-18,March,Friday,2011
20259,Never Back Down 2: The Beatdown,2011-09-13,September,Tuesday,2011
20260,Midnight in Paris,2011-05-20,May,Friday,2011
20261,The Ides of March,2011-10-07,October,Friday,2011
20262,Death Race 2,2011-01-18,January,Tuesday,2011
20263,We Need to Talk About Kevin,2011-12-09,December,Friday,2011
20264,The Woman,2011-10-14,October,Friday,2011
20265,The Human Centipede 2 (Full Sequence),2011-10-07,October,Friday,2011
20266,The Descendants,2011-11-18,November,Friday,2011
20267,Barbie: A Perfect Christmas,2011-11-08,November,Tuesday,2011
20268,J. Edgar,2011-11-09,November,Wednesday,2011
20269,Honey 2,2011-08-01,August,Monday,2011
20270,Footloose,2011-10-14,October,Friday,2011
20271,A Turtle's Tale: Sammy's Adventures,2011-03-25,March,Friday,2011
20272,Green Lantern: Emerald Knights,2011-06-07,June,Tuesday,2011
20273,Underworld: Endless War,2011-10-19,October,Wednesday,2011
20274,Mean Girls 2,2011-01-23,January,Sunday,2011
20275,I Saw the Devil,2011-01-21,January,Friday,2011
20276,The Resident,2011-02-18,February,Friday,2011
20277,Hostel: Part III,2011-12-27,December,Tuesday,2011
20278,A Very Harold & Kumar Christmas,2011-11-04,November,Friday,2011
20279,The Inbetweeners Movie,2011-08-20,August,Saturday,2011
20280,Extremely Loud & Incredibly Close,2011-12-24,December,Saturday,2011
20281,Small Fry,2011-11-23,November,Wednesday,2011
20282,Fright Night,2011-08-19,August,Friday,2011
20283,"Good Luck Charlie, It's Christmas!",2011-12-02,December,Friday,2011
20284,Shark Night 3D,2011-09-02,September,Friday,2011
20285,Kung Fu Panda: Secrets of the Masters,2011-12-12,December,Monday,2011
20286,Take Me Home Tonight,2011-03-04,March,Friday,2011
20287,Tower Heist,2011-11-04,November,Friday,2011
20288,Soul Surfer,2011-04-08,April,Friday,2011
20289,The Roommate,2011-02-04,February,Friday,2011
20290,Dream House,2011-09-30,September,Friday,2011
20291,30 Minutes or Less,2011-08-12,August,Friday,2011
20292,Sharpay's Fabulous Adventure,2011-04-19,April,Tuesday,2011
20293,"Big Mommas: Like Father, Like Son",2011-02-18,February,Friday,2011
20294,Legend of the Fist: The Return of Chen Zhen,2011-04-22,April,Friday,2011
20295,Happy Feet Two,2011-11-17,November,Thursday,2011
20296,The Guard,2011-07-29,July,Friday,2011
20297,Jane Eyre,2011-03-11,March,Friday,2011
20298,Mr. Popper's Penguins,2011-06-17,June,Friday,2011
20299,Hoodwinked Too! Hood VS. Evil,2011-04-29,April,Friday,2011
20300,Dragons: Gift of the Night Fury,2011-11-15,November,Tuesday,2011
20301,The Good Doctor,2011-04-23,April,Saturday,2011
20302,5 Days of War,2011-08-18,August,Thursday,2011
20303,Batman: Year One,2011-10-18,October,Tuesday,2011
20304,Megamind: The Button of Doom,2011-02-25,February,Friday,2011
20305,Detachment,2011-04-25,April,Monday,2011
20306,Red State,2011-09-23,September,Friday,2011
20307,The Big Year,2011-10-14,October,Friday,2011
20308,Monte Carlo,2011-07-01,July,Friday,2011
20309,Water for Elephants,2011-04-22,April,Friday,2011
20310,The Awakening,2011-08-17,August,Wednesday,2011
20311,The Ledge,2011-07-08,July,Friday,2011
20312,Ironclad,2011-07-08,July,Friday,2011
20313,New Year's Eve,2011-12-09,December,Friday,2011
20314,The Rite,2011-01-28,January,Friday,2011
20315,Larry Crowne,2011-06-30,June,Thursday,2011
20316,The Greatest Movie Ever Sold,2011-04-22,April,Friday,2011
20317,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,2011-10-25,October,Tuesday,2011
20318,Perfect Sense,2011-01-24,January,Monday,2011
20319,Certified Copy,2011-03-11,March,Friday,2011
20320,Rampart,2011-11-23,November,Wednesday,2011
20321,We Bought a Zoo,2011-12-23,December,Friday,2011
20322,Geek Charming,2011-11-11,November,Friday,2011
20323,Trust,2011-04-01,April,Friday,2011
20324,TEKKEN,2011-07-19,July,Tuesday,2011
20325,You May Not Kiss the Bride,2011-04-05,April,Tuesday,2011
20326,Le Havre,2011-10-21,October,Friday,2011
20327,S.W.A.T.: Firefight,2011-03-01,March,Tuesday,2011
20328,Game of Death,2011-02-15,February,Tuesday,2011
20329,Melancholia,2011-10-03,October,Monday,2011
20330,Texas Killing Fields,2011-10-14,October,Friday,2011
20331,Elite Squad: The Enemy Within,2011-01-23,January,Sunday,2011
20332,Super,2011-03-31,March,Thursday,2011
20333,A Lonely Place to Die,2011-04-09,April,Saturday,2011
20334,13 Assassins,2011-03-30,March,Wednesday,2011
20335,1911,2011-10-07,October,Friday,2011
20336,I Don't Know How She Does It,2011-09-16,September,Friday,2011
20337,Faces in the Crowd,2011-10-25,October,Tuesday,2011
20338,Sanctum,2011-02-04,February,Friday,2011
20339,The Divide,2011-03-13,March,Sunday,2011
20340,Outrage,2011-12-02,December,Friday,2011
20341,Sniper: Reloaded,2011-04-26,April,Tuesday,2011
20342,Diary of a Wimpy Kid: Rodrick Rules,2011-03-25,March,Friday,2011
20343,Prom,2011-04-29,April,Friday,2011
20344,Paranormal Activity 3,2011-10-21,October,Friday,2011
20345,Cedar Rapids,2011-02-11,February,Friday,2011
20346,Elephant White,2011-05-17,May,Tuesday,2011
20347,Dirty Girl,2011-10-07,October,Friday,2011
20348,Winnie the Pooh,2011-07-14,July,Thursday,2011
20349,Age of the Dragons,2011-05-13,May,Friday,2011
20350,Julia X,2011-09-24,September,Saturday,2011
20351,The Hit List,2011-04-03,April,Sunday,2011
20352,Assassination Games,2011-07-29,July,Friday,2011
20353,"Love, Wedding, Marriage",2011-06-03,June,Friday,2011
20354,Blackthorn,2011-10-07,October,Friday,2011
20355,Apollo 18,2011-09-02,September,Friday,2011
20356,The Iron Lady,2011-12-30,December,Friday,2011
20357,A Dangerous Method,2011-11-23,November,Wednesday,2011
20358,Headhunters,2011-12-20,December,Tuesday,2011
20359,Lemonade Mouth,2011-04-15,April,Friday,2011
20360,Machine Gun Preacher,2011-09-23,September,Friday,2011
20361,Glee: The Concert Movie,2011-08-12,August,Friday,2011
20362,War Horse,2011-12-25,December,Sunday,2011
20363,From Prada to Nada,2011-01-28,January,Friday,2011
20364,Setup,2011-11-04,November,Friday,2011
20365,Woody Allen: A Documentary,2011-11-20,November,Sunday,2011
20366,Burke & Hare,2011-08-05,August,Friday,2011
20367,Haywire,2011-11-06,November,Sunday,2011
20368,Flypaper,2011-08-19,August,Friday,2011
20369,Hobo with a Shotgun,2011-05-06,May,Friday,2011
20370,Wrecked,2011-04-01,April,Friday,2011
20371,African Cats,2011-04-22,April,Friday,2011
20372,A Princess for Christmas,2011-12-03,December,Saturday,2011
20373,Justin Bieber: Never Say Never,2011-02-11,February,Friday,2011
20374,The Devil's Double,2011-07-29,July,Friday,2011
20375,The Dilemma,2011-01-13,January,Thursday,2011
20376,In a Better World,2011-04-01,April,Friday,2011
20377,Dead Space: Aftermath,2011-01-25,January,Tuesday,2011
20378,Troll Hunter,2011-06-10,June,Friday,2011
20379,A Monster in Paris,2011-11-22,November,Tuesday,2011
20380,Lego Star Wars: The Padawan Menace,2011-07-22,July,Friday,2011
20381,Quarantine 2: Terminal,2011-06-16,June,Thursday,2011
20382,Absentia,2011-03-03,March,Thursday,2011
20383,The Son of No One,2011-11-04,November,Friday,2011
20384,Don 2,2011-12-23,December,Friday,2011
20385,That's What I Am,2011-04-29,April,Friday,2011
20386,Straw Dogs,2011-09-16,September,Friday,2011
20387,Too Big to Fail,2011-05-22,May,Sunday,2011
20388,The Double,2011-10-28,October,Friday,2011
20389,The Shrine,2011-07-15,July,Friday,2011
20390,L!fe Happens,2011-06-18,June,Saturday,2011
20391,A Better Life,2011-06-24,June,Friday,2011
20392,True Legend,2011-05-13,May,Friday,2011
20393,Bucky Larson: Born to Be a Star,2011-09-09,September,Friday,2011
20394,Beastly,2011-03-04,March,Friday,2011
20395,The Debt,2011-08-31,August,Wednesday,2011
20396,Carnage,2011-12-16,December,Friday,2011
20397,Everything Must Go,2011-04-27,April,Wednesday,2011
20398,A Separation,2011-12-29,December,Thursday,2011
20399,The Sorcerer and the White Snake,2011-09-28,September,Wednesday,2011
20400,The Avengers,2012-05-04,May,Friday,2012
20401,Journey 2: The Mysterious Island,2012-02-10,February,Friday,2012
20402,Brave,2012-06-22,June,Friday,2012
20403,The Amazing Spider-Man,2012-07-03,July,Tuesday,2012
20404,The Dark Knight Rises,2012-07-20,July,Friday,2012
20405,The Hobbit: An Unexpected Journey,2012-12-14,December,Friday,2012
20406,Hotel Transylvania,2012-09-28,September,Friday,2012
20407,Ice Age: Continental Drift,2012-07-13,July,Friday,2012
20408,Prometheus,2012-06-08,June,Friday,2012
20409,The Lorax,2012-03-01,March,Thursday,2012
20410,Safe House,2012-02-10,February,Friday,2012
20411,Skyfall,2012-11-09,November,Friday,2012
20412,Argo,2012-10-12,October,Friday,2012
20413,Silent Hill: Revelation 3D,2012-10-26,October,Friday,2012
20414,Ruby Sparks,2012-07-25,July,Wednesday,2012
20415,Piranha 3DD,2012-06-01,June,Friday,2012
20416,The Twilight Saga: Breaking Dawn - Part 2,2012-11-16,November,Friday,2012
20417,Madagascar 3: Europe's Most Wanted,2012-06-08,June,Friday,2012
20418,Snow White and the Huntsman,2012-06-01,June,Friday,2012
20419,Mirror Mirror,2012-03-30,March,Friday,2012
20420,Pitch Perfect,2012-09-28,September,Friday,2012
20421,Looper,2012-09-28,September,Friday,2012
20422,Wreck-It Ralph,2012-11-02,November,Friday,2012
20423,Taken 2,2012-10-04,October,Thursday,2012
20424,Battleship,2012-05-18,May,Friday,2012
20425,The Secret World of Arrietty,2012-02-17,February,Friday,2012
20426,The Bourne Legacy,2012-08-10,August,Friday,2012
20427,Zero Dark Thirty,2012-12-19,December,Wednesday,2012
20428,The Vow,2012-02-10,February,Friday,2012
20429,The Master,2012-09-14,September,Friday,2012
20430,Jack Reacher,2012-12-21,December,Friday,2012
20431,Wrong Turn 5: Bloodlines,2012-10-23,October,Tuesday,2012
20432,Dredd,2012-09-21,September,Friday,2012
20433,Total Recall,2012-08-03,August,Friday,2012
20434,Life of Pi,2012-11-21,November,Wednesday,2012
20435,Cloud Atlas,2012-10-26,October,Friday,2012
20436,Wrath of the Titans,2012-03-29,March,Thursday,2012
20437,The Expendables 2,2012-08-17,August,Friday,2012
20438,Lincoln,2012-11-16,November,Friday,2012
20439,Dark Shadows,2012-05-11,May,Friday,2012
20440,The Lucky One,2012-04-20,April,Friday,2012
20441,The Pirates! In an Adventure with Scientists!,2012-04-27,April,Friday,2012
20442,Abraham Lincoln: Vampire Hunter,2012-06-22,June,Friday,2012
20443,What to Expect When You're Expecting,2012-05-18,May,Friday,2012
20444,American Reunion,2012-04-06,April,Friday,2012
20445,Safe,2012-04-16,April,Monday,2012
20446,Diary of a Wimpy Kid: Dog Days,2012-08-03,August,Friday,2012
20447,Rock of Ages,2012-06-15,June,Friday,2012
20448,Ted,2012-06-29,June,Friday,2012
20449,Men in Black 3,2012-05-25,May,Friday,2012
20450,Step Up Revolution,2012-07-27,July,Friday,2012
20451,That's My Boy,2012-06-15,June,Friday,2012
20452,The Watch,2012-07-27,July,Friday,2012
20453,Killer Joe,2012-07-27,July,Friday,2012
20454,Silver Linings Playbook,2012-11-16,November,Friday,2012
20455,ParaNorman,2012-08-17,August,Friday,2012
20456,Rise of the Guardians,2012-11-21,November,Wednesday,2012
20457,The Impossible,2012-12-04,December,Tuesday,2012
20458,Moonrise Kingdom,2012-05-25,May,Friday,2012
20459,From Up on Poppy Hill,2012-11-16,November,Friday,2012
20460,Lockout,2012-04-13,April,Friday,2012
20461,Red Dawn,2012-11-21,November,Wednesday,2012
20462,Iron Sky,2012-03-10,March,Saturday,2012
20463,Les Misérables,2012-12-25,December,Tuesday,2012
20464,Starship Troopers: Invasion,2012-08-28,August,Tuesday,2012
20465,Chronicle,2012-02-02,February,Thursday,2012
20466,Alex Cross,2012-10-18,October,Thursday,2012
20467,The Woman in Black,2012-02-03,February,Friday,2012
20468,Blue Lagoon: The Awakening,2012-06-16,June,Saturday,2012
20469,Sexual Chronicles of a French Family,2012-06-01,June,Friday,2012
20470,The Hunger Games,2012-03-23,March,Friday,2012
20471,Paranormal Activity 4,2012-10-19,October,Friday,2012
20472,The Perks of Being a Wallflower,2012-09-10,September,Monday,2012
20473,13Hrs,2012-04-01,April,Sunday,2012
20474,Anna Karenina,2012-11-16,November,Friday,2012
20475,Lawless,2012-08-29,August,Wednesday,2012
20476,End of Watch,2012-09-21,September,Friday,2012
20477,The Raven,2012-04-27,April,Friday,2012
20478,An American Girl: McKenna Shoots for the Stars,2012-07-14,July,Saturday,2012
20479,This Means War,2012-02-17,February,Friday,2012
20480,The Devil Inside,2012-01-06,January,Friday,2012
20481,Killing Them Softly,2012-11-30,November,Friday,2012
20482,Home Alone: The Holiday Heist,2012-11-25,November,Sunday,2012
20483,V/H/S,2012-10-05,October,Friday,2012
20484,To Rome with Love,2012-06-22,June,Friday,2012
20485,Flight,2012-11-02,November,Friday,2012
20486,Seeking Justice,2012-03-16,March,Friday,2012
20487,Barbie: The Princess & The Popstar,2012-09-30,September,Sunday,2012
20488,Justice League: Doom,2012-02-28,February,Tuesday,2012
20489,Contraband,2012-01-13,January,Friday,2012
20490,Stolen,2012-09-14,September,Friday,2012
20491,Thunderstruck,2012-08-24,August,Friday,2012
20492,The First Time,2012-10-19,October,Friday,2012
20493,Fire with Fire,2012-08-31,August,Friday,2012
20494,Project X,2012-03-02,March,Friday,2012
20495,The Possession,2012-08-31,August,Friday,2012
20496,Puss in Boots: The Three Diablos,2012-02-24,February,Friday,2012
20497,Trouble with the Curve,2012-09-21,September,Friday,2012
20498,The Cold Light of Day,2012-09-06,September,Thursday,2012
20499,Barbie in A Mermaid Tale 2,2012-03-06,March,Tuesday,2012
20500,The Dictator,2012-05-16,May,Wednesday,2012
20501,About Cherry,2012-09-21,September,Friday,2012
20502,The Scorpion King 3: Battle for Redemption,2012-01-17,January,Tuesday,2012
20503,"Batman: The Dark Knight Returns, Part 1",2012-09-25,September,Tuesday,2012
20504,Girl vs. Monster,2012-10-12,October,Friday,2012
20505,Radio Rebel,2012-02-17,February,Friday,2012
20506,Man on a Ledge,2012-01-27,January,Friday,2012
20507,Get the Gringo,2012-05-01,May,Tuesday,2012
20508,Resident Evil: Damnation,2012-09-25,September,Tuesday,2012
20509,Chernobyl Diaries,2012-05-25,May,Friday,2012
20510,Lake Placid: The Final Chapter,2012-09-29,September,Saturday,2012
20511,Savages,2012-07-06,July,Friday,2012
20512,Pokémon the Movie: Kyurem vs. the Sword of Justice,2012-11-08,November,Thursday,2012
20513,Monster High: Ghouls Rule,2012-10-09,October,Tuesday,2012
20514,Seeking a Friend for the End of the World,2012-06-22,June,Friday,2012
20515,Underworld: Awakening,2012-01-19,January,Thursday,2012
20516,Beverly Hills Chihuahua 3 - Viva La Fiesta!,2012-09-18,September,Tuesday,2012
20517,The ABCs of Death,2012-09-15,September,Saturday,2012
20518,Arbitrage,2012-09-14,September,Friday,2012
20519,LOL,2012-05-04,May,Friday,2012
20520,Grave Encounters 2,2012-10-12,October,Friday,2012
20521,This Is 40,2012-12-21,December,Friday,2012
20522,Universal Soldier: Day of Reckoning,2012-11-30,November,Friday,2012
20523,The Collection,2012-09-21,September,Friday,2012
20524,Hitchcock,2012-11-23,November,Friday,2012
20525,One in the Chamber,2012-08-21,August,Tuesday,2012
20526,Wanderlust,2012-02-24,February,Friday,2012
20527,The Apparition,2012-08-24,August,Friday,2012
20528,Fun Size,2012-10-26,October,Friday,2012
20529,Deadfall,2012-12-07,December,Friday,2012
20530,Seven Psychopaths,2012-10-12,October,Friday,2012
20531,The Guilt Trip,2012-12-19,December,Wednesday,2012
20532,Room 237,2012-01-23,January,Monday,2012
20533,Frenemies,2012-01-13,January,Friday,2012
20534,Safety Not Guaranteed,2012-06-08,June,Friday,2012
20535,Bad Ass,2012-04-13,April,Friday,2012
20536,6 Bullets,2012-09-11,September,Tuesday,2012
20537,After,2012-09-14,September,Friday,2012
20538,Let It Shine,2012-06-15,June,Friday,2012
20539,The Iceman,2012-09-01,September,Saturday,2012
20540,Chasing Mavericks,2012-10-26,October,Friday,2012
20541,John Dies at the End,2012-01-23,January,Monday,2012
20542,American Mary,2012-05-31,May,Thursday,2012
20543,Joyful Noise,2012-01-13,January,Friday,2012
20544,God Bless America,2012-05-11,May,Friday,2012
20545,Paperman,2012-11-02,November,Friday,2012
20546,Zambezia,2012-07-07,July,Saturday,2012
20547,Playing for Keeps,2012-12-07,December,Friday,2012
20548,This Must Be the Place,2012-11-02,November,Friday,2012
20549,Take This Waltz,2012-05-25,May,Friday,2012
20550,Amour,2012-10-05,October,Friday,2012
20551,Bachelorette,2012-09-06,September,Thursday,2012
20552,Turkish for Beginners,2012-04-04,April,Wednesday,2012
20553,Apartment 143,2012-05-31,May,Thursday,2012
20554,The Words,2012-09-07,September,Friday,2012
20555,A Late Quartet,2012-11-02,November,Friday,2012
20556,Marley,2012-04-20,April,Friday,2012
20557,One for the Money,2012-01-27,January,Friday,2012
20558,Tangled Ever After,2012-01-13,January,Friday,2012
20559,The Odd Life of Timothy Green,2012-08-15,August,Wednesday,2012
20560,Act of Valor,2012-02-24,February,Friday,2012
20561,The Campaign,2012-08-10,August,Friday,2012
20562,Save the Date,2012-01-22,January,Sunday,2012
20563,Searching for Sugar Man,2012-07-27,July,Friday,2012
20564,My Babysitter's a Vampire,2012-06-25,June,Monday,2012
20565,Delicacy,2012-03-16,March,Friday,2012
20566,The Man with the Iron Fists,2012-11-02,November,Friday,2012
20567,Smashed,2012-10-12,October,Friday,2012
20568,Excision,2012-11-02,November,Friday,2012
20569,Special Forces,2012-10-12,October,Friday,2012
20570,My Awkward Sexual Adventure,2012-12-20,December,Thursday,2012
20571,A Thousand Words,2012-03-08,March,Thursday,2012
20572,The Magic of Belle Isle,2012-07-06,July,Friday,2012
20573,Tower Block,2012-09-19,September,Wednesday,2012
20574,Cleanskin,2012-03-09,March,Friday,2012
20575,Juan of the Dead,2012-03-16,March,Friday,2012
20576,Silent Night,2012-11-30,November,Friday,2012
20577,Game Change,2012-03-09,March,Friday,2012
20578,At Any Price,2012-09-27,September,Thursday,2012
20579,Celeste & Jesse Forever,2012-08-03,August,Friday,2012
20580,House at the End of the Street,2012-09-21,September,Friday,2012
20581,Red Lights,2012-07-12,July,Thursday,2012
20582,Red Tails,2012-01-11,January,Wednesday,2012
20583,Arachnoquake,2012-06-23,June,Saturday,2012
20584,Dark Tide,2012-03-30,March,Friday,2012
20585,Good Deeds,2012-02-23,February,Thursday,2012
20586,Marina Abramović: The Artist Is Present,2012-06-13,June,Wednesday,2012
20587,Here Comes the Boom,2012-10-12,October,Friday,2012
20588,Cirque du Soleil: Worlds Away,2012-12-21,December,Friday,2012
20589,Rise of the Zombies,2012-10-27,October,Saturday,2012
20590,Flicka: Country Pride,2012-05-01,May,Tuesday,2012
20591,Big Miracle,2012-02-03,February,Friday,2012
20592,Gone,2012-02-24,February,Friday,2012
20593,Hyde Park on Hudson,2012-12-07,December,Friday,2012
20594,Hemingway & Gellhorn,2012-05-28,May,Monday,2012
20595,Bait,2012-09-14,September,Friday,2012
20596,The Pact,2012-06-01,June,Friday,2012
20597,The Day,2012-08-29,August,Wednesday,2012
20598,Chimpanzee,2012-04-20,April,Friday,2012
20599,Friends with Kids,2012-03-09,March,Friday,2012
20600,Casa De Mi Padre,2012-03-16,March,Friday,2012
20601,247°F,2012-10-23,October,Tuesday,2012
20602,The Flowers of War,2012-12-18,December,Tuesday,2012
20603,We Have a Pope,2012-04-06,April,Friday,2012
20604,Twixt,2012-08-10,August,Friday,2012
20605,Cosmopolis,2012-08-17,August,Friday,2012
20606,Parental Guidance,2012-12-25,December,Tuesday,2012
20607,I Am Bruce Lee,2012-02-09,February,Thursday,2012
20608,Struck by Lightning,2012-04-20,April,Friday,2012
20609,Salmon Fishing in the Yemen,2012-03-09,March,Friday,2012
20610,Hamilton: In the Interest of the Nation,2012-06-06,June,Wednesday,2012
20611,Marvel One-Shot: Item 47,2012-09-25,September,Tuesday,2012
20612,The Best Exotic Marigold Hotel,2012-05-25,May,Friday,2012
20613,Declaration of War,2012-06-05,June,Tuesday,2012
20614,Partysaurus Rex,2012-09-14,September,Friday,2012
20615,Dino Time,2012-12-07,December,Friday,2012
20616,The Hunter,2012-04-06,April,Friday,2012
20617,Madea's Witness Protection,2012-06-29,June,Friday,2012
20618,The Imposter,2012-07-13,July,Friday,2012
20619,The Act of Killing,2012-08-31,August,Friday,2012
20620,The Paperboy,2012-10-05,October,Friday,2012
20621,Katy Perry: Part of Me,2012-07-05,July,Thursday,2012
20622,Gambit,2012-04-25,April,Wednesday,2012
20623,The Last Will and Testament of Rosalind Leigh,2012-11-09,November,Friday,2012
20624,Super Cyclone,2012-09-18,September,Tuesday,2012
20625,Columbus Circle,2012-03-05,March,Monday,2012
20626,People Like Us,2012-06-29,June,Friday,2012
20627,The Body,2012-11-12,November,Monday,2012
20628,Promised Land,2012-12-28,December,Friday,2012
20629,Goon,2012-02-24,February,Friday,2012
20630,Rurouni Kenshin Part I: Origins,2012-12-14,December,Friday,2012
20631,The Tall Man,2012-08-01,August,Wednesday,2012
20632,Coriolanus,2012-01-19,January,Thursday,2012
20633,Vamps,2012-11-02,November,Friday,2012
20634,HOUBA! On the Trail of the Marsupilami,2012-04-03,April,Tuesday,2012
20635,Magic Mike,2012-06-29,June,Friday,2012
20636,The Three Stooges,2012-04-13,April,Friday,2012
20637,Would You Rather,2012-10-14,October,Sunday,2012
20638,The Samaritan,2012-05-17,May,Thursday,2012
20639,On the Road,2012-12-21,December,Friday,2012
20640,Texas Chainsaw 3D,2013-01-04,January,Friday,2013
20641,Despicable Me 2,2013-07-03,July,Wednesday,2013
20642,Iron Man 3,2013-05-03,May,Friday,2013
20643,Hansel & Gretel: Witch Hunters,2013-01-25,January,Friday,2013
20644,The Hobbit: The Desolation of Smaug,2013-12-13,December,Friday,2013
20645,Thor: The Dark World,2013-11-08,November,Friday,2013
20646,Man of Steel,2013-06-14,June,Friday,2013
20647,Star Trek Into Darkness,2013-05-16,May,Thursday,2013
20648,The Croods,2013-03-22,March,Friday,2013
20649,12 Years a Slave,2013-10-30,October,Wednesday,2013
20650,Now You See Me,2013-05-31,May,Friday,2013
20651,Pacific Rim,2013-07-12,July,Friday,2013
20652,Epic,2013-05-24,May,Friday,2013
20653,The Hunger Games: Catching Fire,2013-11-22,November,Friday,2013
20654,Lone Survivor,2013-12-24,December,Tuesday,2013
20655,Elysium,2013-08-09,August,Friday,2013
20656,Oblivion,2013-04-18,April,Thursday,2013
20657,Captain Phillips,2013-10-11,October,Friday,2013
20658,47 Ronin,2013-12-25,December,Wednesday,2013
20659,Monsters University,2013-06-21,June,Friday,2013
20660,Her,2013-10-12,October,Saturday,2013
20661,Identity Thief,2013-02-09,February,Saturday,2013
20662,Pain & Gain,2013-04-26,April,Friday,2013
20663,The Conjuring,2013-07-19,July,Friday,2013
20664,It Boy,2013-06-06,June,Thursday,2013
20665,The Purge,2013-06-06,June,Thursday,2013
20666,Barbie in the Pink Shoes,2013-02-25,February,Monday,2013
20667,A Good Day to Die Hard,2013-02-14,February,Thursday,2013
20668,The Great Gatsby,2013-05-10,May,Friday,2013
20669,World War Z,2013-06-21,June,Friday,2013
20670,Grown Ups 2,2013-07-12,July,Friday,2013
20671,Homefront,2013-11-27,November,Wednesday,2013
20672,R.I.P.D.,2013-07-19,July,Friday,2013
20673,About Time,2013-11-08,November,Friday,2013
20674,Riddick,2013-09-06,September,Friday,2013
20675,American Hustle,2013-12-12,December,Thursday,2013
20676,RED 2,2013-07-19,July,Friday,2013
